id;name;code;description
1;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders
2;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina
3;Station;parsing Investment Account;Branding Dynamic black
4;yellow;Books Generic;robust withdrawal generate
5;Garden open-source hybrid;Solomon Islands Dollar;Personal Loan Account HTTP
6;schemas Specialist China;quantify multi-byte;interface Cotton Robust
7;user-centric Infrastructure;Managed Dobra application;Fantastic
8;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing
9;time-frame Quality;Borders Borders Practical;methodical
10;Pakistan;parse;neural Wooden Optimization
