id;jhi_usage;start_date;end_date
1;23750;2019-05-16T06:40:14;2019-05-16T20:09:26
2;37487;2019-05-16T18:17:51;2019-05-16T22:54:20
3;8289;2019-05-16T08:54:59;2019-05-16T17:04:55
4;22359;2019-05-16T19:17:26;2019-05-16T06:38:44
5;80210;2019-05-17T05:28:15;2019-05-16T06:17:36
6;96987;2019-05-16T16:25:07;2019-05-17T04:43:36
7;32268;2019-05-16T08:22:31;2019-05-17T04:43:15
8;52770;2019-05-16T07:34:17;2019-05-16T05:55:54
9;91911;2019-05-17T03:59:29;2019-05-16T23:41:27
10;55385;2019-05-16T13:04:22;2019-05-16T06:29:58
